#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     57.230            22354097230             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25288181                    71697716                    0                           0                           
GPU 1     27.585            20849761221             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        122663                      76132                       0                           0                           
GPU 0     57.328            22354155923             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        24772474                    71704379                    0                           0                           
GPU 1     27.493            20849788810             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        143512                      87484                       0                           0                           
GPU 0     57.334            22354214554             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25443030                    71794723                    0                           0                           
GPU 1     27.475            20849816419             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        129926                      81391                       0                           0                           
GPU 0     57.328            22354273279             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        25328286                    71722693                    0                           0                           
GPU 1     27.493            20849846786             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        161407                      96716                       0                           0                           
GPU 0     57.138            22354331899             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        24435139                    71238183                    0                           0                           
GPU 1     27.585            20849874391             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        130215                      80436                       0                           0                           
GPU 0     57.138            22354390683             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        24881612                    71560820                    0                           0                           
GPU 1     27.475            20849901965             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        137634                      85502                       0                           0                           
GPU 0     57.328            22354449530             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        24731334                    71532581                    0                           0                           
GPU 1     27.487            20849929548             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        137373                      86064                       0                           0                           
GPU 0     57.425            22354508141             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        24549747                    71406722                    0                           0                           
#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 1     27.487            20849957124             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        142909                      84172                       0                           0                           
GPU 0     57.522            22354566871             N/A            N/A            100               0                 1.000        1.000        0.998        0.000        0.000        0.000        0.000        0.000        24524775                    71183036                    0                           0                           
GPU 1     27.475            20849984696             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        127987                      78014                       0                           0                           
GPU 0     57.522            22354625665             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25167543                    71845867                    0                           0                           
GPU 1     27.487            20850012276             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        127987                      78014                       0                           0                           
GPU 0     57.431            22354684443             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25167543                    71845867                    0                           0                           
GPU 1     27.481            20850042544             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        118199                      73999                       0                           0                           
GPU 0     57.425            22354743142             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        24716598                    71399566                    0                           0                           
GPU 1     27.487            20850070138             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        158780                      94525                       0                           0                           
GPU 0     57.425            22354802049             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        23967805                    71019697                    0                           0                           
GPU 1     27.487            20850097714             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        130731                      81567                       0                           0                           
GPU 0     57.528            22354861039             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        25385524                    71832572                    0                           0                           
GPU 1     27.481            20850125286             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        162831                      96171                       0                           0                           
GPU 0     56.943            22354919720             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25530496                    71845496                    0                           0                           
GPU 1     27.487            20850152866             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        133082                      81733                       0                           0                           
GPU 0     57.230            22354978911             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        25534755                    71877529                    0                           0                           
GPU 1     27.487            20850152866             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        128045                      79264                       0                           0                           
GPU 0     57.522            22354978911             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25430775                    71868950                    0                           0                           
GPU 1     27.475            20850183202             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        135016                      83584                       0                           0                           
GPU 0     57.522            22355037537             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25095739                    71794950                    0                           0                           
GPU 1     27.487            20850210792             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        132939                      82257                       0                           0                           
GPU 0     57.522            22355096619             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        25358751                    71732374                    0                           0                           
GPU 1     27.481            20850238408             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        128309                      79858                       0                           0                           
GPU 0     57.718            22355155724             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25568401                    71935882                    0                           0                           
GPU 1     27.481            20850265978             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        121526                      76919                       0                           0                           
GPU 0     57.528            22355214125             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        26477088                    72404601                    0                           0                           
GPU 1     27.475            20850299063             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        114172                      70808                       0                           0                           
GPU 0     57.328            22355278966             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        28972211                    73450431                    0                           0                           
